scope,model_1,model_2,b,c,p_raw,p_adj_bh,significant
HF,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF67-AIF33__2,3,8,0.226562,0.337979,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,bert__HR67-AIR33-HF67-AIF33__2,0,82,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF0-AIF100__13,64,102,0.004082,0.009023,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF0-AIF100__13,0,19,4e-06,1.4e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF0-AIF100__13,15,1,0.000519,0.001311,True
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF0-AIF100__13,49,1,0.0,0.0,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF0-AIF100__13,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF100-AIF0__15,36,103,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF100-AIF0__15,2,15,0.00235,0.005478,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF100-AIF0__15,28,0,0.0,1e-06,True
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF100-AIF0__15,6,10,0.454498,0.612095,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF100-AIF0__15,0,78,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF33-AIF67__11,51,100,9.4e-05,0.00027,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF33-AIF67__11,0,16,3.1e-05,9.5e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR100-AIR0-HF33-AIF67__11,28,0,0.0,1e-06,True
