scope,model_1,model_2,b,c,p_raw,p_adj_bh,significant
HF,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF100-AIF0__9,13,4,0.049042,0.08479,False
AI-F,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF100-AIF0__9,82,0,0.0,0.0,True
overall,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF33-AIF67__6,25,1,6e-06,2.3e-05,True
HR,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF33-AIF67__6,5,0,0.0625,0.104728,False
AI-R,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF33-AIF67__6,10,0,0.001953,0.004602,True
HF,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF33-AIF67__6,10,1,0.011719,0.023405,True
AI-F,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF33-AIF67__6,0,0,1.0,1.0,False
overall,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF50-AIF50__7,18,13,0.472498,0.635156,False
HR,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF50-AIF50__7,4,2,0.6875,0.846723,False
AI-R,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF50-AIF50__7,0,7,0.015625,0.030155,True
HF,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF50-AIF50__7,13,4,0.049042,0.08479,False
AI-F,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR50-AIR50-HF50-AIF50__7,1,0,1.0,1.0,False
overall,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF0-AIF100__4,67,10,0.0,0.0,True
HR,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF0-AIF100__4,0,3,0.25,0.357966,False
AI-R,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF0-AIF100__4,2,7,0.179688,0.27542,False
HF,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF0-AIF100__4,63,0,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF0-AIF100__4,2,0,0.5,0.648479,False
overall,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF100-AIF0__10,91,7,0.0,0.0,True
HR,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF100-AIF0__10,5,1,0.21875,0.329033,False
AI-R,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF100-AIF0__10,10,5,0.301758,0.42666,False
HF,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF100-AIF0__10,19,1,4e-05,0.000123,True
AI-F,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF100-AIF0__10,57,0,0.0,0.0,True
overall,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF33-AIF67__4,24,7,0.004057,0.008977,True
HR,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF33-AIF67__4,1,2,1.0,1.0,False
AI-R,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF33-AIF67__4,1,4,0.375,0.516873,False
HF,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF33-AIF67__4,19,1,4e-05,0.000123,True
AI-F,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF33-AIF67__4,3,0,0.25,0.357966,False
overall,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF50-AIF50__4,18,6,0.022656,0.042153,True
HR,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF50-AIF50__4,5,0,0.0625,0.104728,False
AI-R,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF50-AIF50__4,5,2,0.453125,0.611761,False
HF,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF50-AIF50__4,7,4,0.548828,0.703833,False
AI-F,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF50-AIF50__4,1,0,1.0,1.0,False
overall,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF67-AIF33__3,30,6,0.000126,0.000356,True
HR,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF67-AIF33__3,1,1,1.0,1.0,False
AI-R,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF67-AIF33__3,3,5,0.726562,0.885307,False
HF,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF67-AIF33__3,24,0,0.0,1e-06,True
AI-F,bert__HR50-AIR50-HF33-AIF67__5,distilbert__HR67-AIR33-HF67-AIF33__3,2,0,0.5,0.648479,False
overall,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF0-AIF100__3,68,12,0.0,0.0,True
HR,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF0-AIF100__3,0,3,0.25,0.357966,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF0-AIF100__3,3,6,0.507812,0.65432,False
HF,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF0-AIF100__3,64,0,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF0-AIF100__3,1,3,0.625,0.778565,False
overall,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF100-AIF0__10,67,17,0.0,0.0,True
HR,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF100-AIF0__10,15,0,6.1e-05,0.00018,True
AI-R,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF100-AIF0__10,12,2,0.012939,0.025585,True
HF,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF100-AIF0__10,0,15,6.1e-05,0.00018,True
AI-F,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF100-AIF0__10,40,0,0.0,0.0,True
overall,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF33-AIF67__1,19,11,0.201243,0.307591,False
HR,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF33-AIF67__1,2,1,1.0,1.0,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF33-AIF67__1,4,3,1.0,1.0,False
HF,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF33-AIF67__1,12,4,0.076813,0.126759,False
AI-F,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF33-AIF67__1,1,3,0.625,0.778565,False
overall,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF50-AIF50__1,10,14,0.541256,0.695764,False
HR,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF50-AIF50__1,1,2,1.0,1.0,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF50-AIF50__1,4,3,1.0,1.0,False
HF,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF50-AIF50__1,4,6,0.753906,0.913508,False
AI-F,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF50-AIF50__1,1,3,0.625,0.778565,False
overall,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF67-AIF33__2,10,17,0.248213,0.357966,False
HR,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF67-AIF33__2,4,1,0.375,0.516873,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF67-AIF33__2,4,2,0.6875,0.846723,False
HF,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF67-AIF33__2,2,11,0.022461,0.041862,True
AI-F,bert__HR50-AIR50-HF50-AIF50__7,bert__HR67-AIR33-HF67-AIF33__2,0,3,0.25,0.357966,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF0-AIF100__13,60,9,0.0,0.0,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF0-AIF100__13,0,3,0.25,0.357966,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF0-AIF100__13,14,2,0.004181,0.009204,True
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF0-AIF100__13,45,1,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF0-AIF100__13,1,3,0.625,0.778565,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF100-AIF0__15,36,14,0.002979,0.006821,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF100-AIF0__15,5,2,0.453125,0.611761,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF100-AIF0__15,26,0,1e-06,4e-06,True
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF100-AIF0__15,1,9,0.021484,0.040704,True
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF100-AIF0__15,4,3,1.0,1.0,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF33-AIF67__11,52,12,1e-06,4e-06,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF33-AIF67__11,3,3,1.0,1.0,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF33-AIF67__11,27,1,2e-06,9e-06,True
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF33-AIF67__11,21,5,0.003264,0.007449,True
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF33-AIF67__11,1,3,0.625,0.778565,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF50-AIF50__12,63,14,0.0,0.0,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF50-AIF50__12,8,2,0.109375,0.177929,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF50-AIF50__12,44,0,0.0,0.0,True
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF50-AIF50__12,11,9,0.823803,0.986658,False
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF50-AIF50__12,0,3,0.25,0.357966,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF67-AIF33__14,31,12,0.006052,0.013058,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF67-AIF33__14,1,3,0.625,0.778565,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF67-AIF33__14,26,0,1e-06,4e-06,True
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF67-AIF33__14,3,6,0.507812,0.65432,False
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR100-AIR0-HF67-AIF33__14,1,3,0.625,0.778565,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF0-AIF100__6,64,10,0.0,0.0,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF0-AIF100__6,0,3,0.25,0.357966,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF0-AIF100__6,2,4,0.6875,0.846723,False
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF0-AIF100__6,59,0,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF0-AIF100__6,3,3,1.0,1.0,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF100-AIF0__8,96,12,0.0,0.0,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF100-AIF0__8,6,2,0.289062,0.409584,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF100-AIF0__8,2,3,1.0,1.0,False
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF100-AIF0__8,9,7,0.803619,0.965142,False
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF100-AIF0__8,79,0,0.0,0.0,True
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF100-AIF0__9,96,12,0.0,0.0,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF100-AIF0__9,6,2,0.289062,0.409584,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF100-AIF0__9,2,3,1.0,1.0,False
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF100-AIF0__9,9,7,0.803619,0.965142,False
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF100-AIF0__9,79,0,0.0,0.0,True
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF33-AIF67__6,31,12,0.006052,0.013058,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF33-AIF67__6,6,1,0.125,0.196441,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF33-AIF67__6,15,0,6.1e-05,0.00018,True
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF33-AIF67__6,10,8,0.814529,0.976089,False
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF33-AIF67__6,0,3,0.25,0.357966,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF50-AIF50__7,12,12,1.0,1.0,False
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF50-AIF50__7,4,2,0.6875,0.846723,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF50-AIF50__7,1,3,0.625,0.778565,False
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF50-AIF50__7,6,4,0.753906,0.913508,False
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR50-AIR50-HF50-AIF50__7,1,3,0.625,0.778565,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF0-AIF100__4,62,10,0.0,0.0,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF0-AIF100__4,0,3,0.25,0.357966,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF0-AIF100__4,4,4,1.0,1.0,False
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF0-AIF100__4,56,0,0.0,0.0,True
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF0-AIF100__4,2,3,1.0,1.0,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF100-AIF0__10,91,12,0.0,0.0,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF100-AIF0__10,6,2,0.289062,0.409584,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF100-AIF0__10,12,2,0.012939,0.025585,True
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF100-AIF0__10,18,7,0.0455,0.078981,False
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF100-AIF0__10,55,1,0.0,0.0,True
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF33-AIF67__4,22,10,0.05183,0.089539,False
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF33-AIF67__4,1,2,1.0,1.0,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF33-AIF67__4,4,2,0.6875,0.846723,False
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF33-AIF67__4,15,4,0.019211,0.036781,True
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF33-AIF67__4,2,2,1.0,1.0,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF50-AIF50__4,21,14,0.310494,0.437954,False
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF50-AIF50__4,6,1,0.125,0.196441,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF50-AIF50__4,9,1,0.021484,0.040704,True
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF50-AIF50__4,5,9,0.42395,0.580297,False
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF50-AIF50__4,1,3,0.625,0.778565,False
overall,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF67-AIF33__3,29,10,0.003948,0.008753,True
HR,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF67-AIF33__3,2,2,1.0,1.0,False
AI-R,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF67-AIF33__3,5,2,0.453125,0.611761,False
HF,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF67-AIF33__3,21,4,0.001374,0.003336,True
AI-F,bert__HR50-AIR50-HF50-AIF50__7,distilbert__HR67-AIR33-HF67-AIF33__3,1,2,1.0,1.0,False
overall,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF100-AIF0__10,76,82,0.690793,0.850297,False
HR,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF100-AIF0__10,18,0,8e-06,2.6e-05,True
AI-R,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF100-AIF0__10,16,3,0.004425,0.009673,True
HF,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF100-AIF0__10,0,79,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF100-AIF0__10,42,0,0.0,0.0,True
overall,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF33-AIF67__1,9,57,0.0,0.0,True
HR,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF33-AIF67__1,4,0,0.125,0.196441,False
AI-R,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF33-AIF67__1,5,1,0.21875,0.329033,False
HF,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF33-AIF67__1,0,56,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF33-AIF67__1,0,0,1.0,1.0,False
overall,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF50-AIF50__1,8,68,0.0,0.0,True
HR,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF50-AIF50__1,2,0,0.5,0.648479,False
AI-R,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF50-AIF50__1,6,2,0.289062,0.409584,False
HF,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF50-AIF50__1,0,66,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF50-AIF50__1,0,0,1.0,1.0,False
overall,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF67-AIF33__2,13,76,0.0,0.0,True
HR,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF67-AIF33__2,6,0,0.03125,0.056173,False
AI-R,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF67-AIF33__2,7,2,0.179688,0.27542,False
HF,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF67-AIF33__2,0,73,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,bert__HR67-AIR33-HF67-AIF33__2,0,1,1.0,1.0,False
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF0-AIF100__13,16,21,0.510798,0.657777,False
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF0-AIF100__13,0,0,1.0,1.0,False
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF0-AIF100__13,16,1,0.000275,0.000735,True
HF,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF0-AIF100__13,0,20,2e-06,7e-06,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF0-AIF100__13,0,0,1.0,1.0,False
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF100-AIF0__15,40,74,0.001997,0.0047,True
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF100-AIF0__15,6,0,0.03125,0.056173,False
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF100-AIF0__15,31,2,1e-06,4e-06,True
HF,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF100-AIF0__15,0,72,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF100-AIF0__15,3,0,0.25,0.357966,False
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF33-AIF67__11,33,49,0.097626,0.160375,False
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF33-AIF67__11,3,0,0.25,0.357966,False
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF33-AIF67__11,30,1,0.0,2e-06,True
HF,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF33-AIF67__11,0,48,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF33-AIF67__11,0,0,1.0,1.0,False
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF50-AIF50__12,57,64,0.585441,0.747262,False
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF50-AIF50__12,9,0,0.003906,0.008678,True
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF50-AIF50__12,48,1,0.0,0.0,True
HF,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF50-AIF50__12,0,62,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF50-AIF50__12,0,1,1.0,1.0,False
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF67-AIF33__14,31,68,0.000297,0.00079,True
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF67-AIF33__14,1,0,1.0,1.0,False
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF67-AIF33__14,30,1,0.0,2e-06,True
HF,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF67-AIF33__14,0,67,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR100-AIR0-HF67-AIF33__14,0,0,1.0,1.0,False
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF0-AIF100__6,5,7,0.774414,0.93575,False
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF0-AIF100__6,0,0,1.0,1.0,False
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF0-AIF100__6,3,2,1.0,1.0,False
HF,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF0-AIF100__6,0,5,0.0625,0.104728,False
AI-F,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF0-AIF100__6,2,0,0.5,0.648479,False
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF100-AIF0__8,93,65,0.031713,0.056911,False
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF100-AIF0__8,7,0,0.015625,0.030155,True
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF100-AIF0__8,5,3,0.726562,0.885307,False
HF,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF100-AIF0__8,0,62,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF100-AIF0__8,81,0,0.0,0.0,True
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF100-AIF0__9,93,65,0.031713,0.056911,False
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF100-AIF0__9,7,0,0.015625,0.030155,True
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF100-AIF0__9,5,3,0.726562,0.885307,False
HF,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF100-AIF0__9,0,62,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF100-AIF0__9,81,0,0.0,0.0,True
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF33-AIF67__6,27,64,0.000161,0.000448,True
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF33-AIF67__6,8,0,0.007812,0.01591,True
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF33-AIF67__6,19,1,4e-05,0.000123,True
HF,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF33-AIF67__6,0,62,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF33-AIF67__6,0,1,1.0,1.0,False
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF50-AIF50__7,8,64,0.0,0.0,True
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF50-AIF50__7,5,0,0.0625,0.104728,False
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF50-AIF50__7,3,2,1.0,1.0,False
HF,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF50-AIF50__7,0,62,0.0,0.0,True
AI-F,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR50-AIR50-HF50-AIF50__7,0,0,1.0,1.0,False
overall,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR67-AIR33-HF0-AIF100__4,5,9,0.42395,0.580297,False
HR,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR67-AIR33-HF0-AIF100__4,0,0,1.0,1.0,False
AI-R,bert__HR67-AIR33-HF0-AIF100__3,distilbert__HR67-AIR33-HF0-AIF100__4,4,1,0.375,0.516873,False
